,concept,pages
0,absolute maximum,272
1,absolute minimum,272
2,absolute value,"252, 339"
3,absolute value equation,"184, 185"
4,absolute value function,249
5,absolute value functions,"339, 342"
6,absolute value inequality,"195, 195"
7,addition method,"807, 809, 813"
8,Addition Principle,1111
9,Addition Principle,1109
10,circle,"846, 847, 949"
11,co-vertex,953
12,co-vertices,954
13,coefficient,"60, 60, 487, 489, 551"
14,coefficient matrix,"889, 891, 912, 916"
15,column,873
16,column matrix,873
17,combinations,"1116, 1124"
18,combining functions,281
19,common base,727
20,common difference,"1065, 1069, 1096"
21,common logarithm,674
22,common ratio,"1080, 1083, 1099"
23,commutative,282
24,commutative property of addition,17
25,commutative property of multiplication,17
26,complement of an event,1137
27,decomposition,860
28,decreasing function,"268, 383"
29,decreasing linear function,383
30,degenerate conic sections,1013
31,degree,"60, 60, 486, 495, 547"
32,degree of the polynomial equation,547
33,dependent system,"804, 813, 831"
34,dependent variable,"213, 628"
35,Descartes’ Rule of Signs,557
36,determinant,"902, 924, 926, 927"
37,difference of squares,65
38,direct variation,"609, 610"
39,directrix,"837, 989, 995, 998, 999, 1000, 1003, 1028, 1029, 1034, 1035, 1036"
40,discriminant,"173, 173"
41,Disjoint events,1109
42,distance formula,"108, 968, 974, 996"
43,distributive property,18
44,diverges,1101
45,dividend,537
46,Division Algorithm,"538, 549"
47,divisor,537
48,domain,"209, 214, 223, 237, 240, 242, 243, 244, 679"
49,domain and range,"241, 241"
50,domain of a composite function,287
51,doubling time,748
52,addition property,192
53,algebraic expression,20
54,angle of rotation,1017
55,annual interest,1104
56,annual percentage rate (APR),641
57,annuity,1104
58,apoapsis,1028
59,area,142
60,area of a circle,489
61,arithmetic sequence,"1065, 1069, 1070, 1072, 1072, 1096"
62,arithmetic series,1096
63,arrow notation,566
64,associative property of addition,17
65,associative property of multiplication,17
67,asymptotes,973
68,augmented matrix,"889, 893, 894, 911"
69,augmented matrix form,885
70,average rate of change,"259, 262"
71,axes of symmetry,973
72,axis of symmetry,"466, 468, 1003, 1005"
73,base,15
74,best fit,764
75,binomial,"60, 486, 538"
76,binomial coefficient,1124
77,binomial expansion,"1125, 1128"
78,Binomial Squares Pattern,948
79,Binomial Theorem,1127
80,branch,969
81,break-even point,814
82,completing the square,"170, 171, 948"
83,complex conjugate,157
84,Complex Conjugate Theorem,556
85,complex number,152
86,complex plane,153
87,composite,"279, 346"
88,composite function,282
89,composition of functions,281
90,compound inequality,194
91,compound interest,641
92,compression,"395, 658, 693"
93,conditional equation,120
94,conic,"952, 972, 1035"
95,conic section,1015
96,conjugate axis,"969, 973"
97,consistent system,803
98,constant,20
99,constant function,249
100,constant of variation,"609, 610"
101,continuous,512
102,continuous function,501
103,coordinate plane,996
104,Cornell Method,69
105,correlation coefficient,441
106,cost function,"280, 814"
107,Cramer’s Rule,"921, 924, 925, 927, 931"
108,cube root,490
109,cubic functions,597
110,cues,69
111,decompose a composite function,289
112,earthquake intensity,741
113,eccentricity,"1029, 1029"
114,electrostatic force,265
115,element,870
116,elimination,847
117,ellipse,"847, 952, 953, 954, 956, 960, 995, 1030, 1034"
118,ellipsis,1050
119,end behavior,"491, 577"
120,endpoint,265
121,entry,"870, 873"
122,equation,"22, 221"
123,equation in quadratic form,186
124,equation in two variables,104
125,even function,317
126,event,"1109, 1133"
127,experiment,1133
128,explicit formula,"1051, 1052, 1053, 1073, 1087"
129,exponent,15
130,Exponential decay,"631, 639, 653, 740, 743, 746, 749, 766"
131,exponential equation,726
132,exponential equations,722
133,carrying capacity,750
134,Cartesian coordinate system,102
135,Celsius,349
136,center,"949, 969"
137,center of a hyperbola,973
138,center of an ellipse,953
139,central rectangle,973
140,change-of-base formula,"718, 719"
141,knowledge space,45
142,exponential expression,485
143,exponential function,632
144,exponential growth,"632, 635, 654, 740, 743, 748, 750"
145,exponential notation,15
146,extraneous solution,730
147,extraneous solutions,182
148,extrapolation,439
149,horizontal compression,323
150,horizontal line,"129, 401, 402"
151,horizontal line test,"228, 348"
152,horizontal reflection,312
153,horizontal shift,"306, 651, 656, 689"
154,horizontal stretch,323
155,hyperbola,"969, 973, 976, 977, 978, 980, 981, 983, 985, 995, 1030, 1032"
156,factor by grouping,74
157,Factor Theorem,550
158,factorial,1059
159,factoring,164
160,Fahrenheit,349
161,feasible region,850
162,finite arithmetic sequence,1074
163,finite sequence,1052
164,fixed mindset,57
165,foci,"952, 953, 954, 974"
166,focus,"837, 952, 969, 989, 995, 998, 999, 1000, 1003, 1028, 1034, 1035, 1036"
167,FOIL,62
168,formula,"22, 221"
169,function,"210, 214, 237, 253, 278, 348, 377, 1048"
170,function notation,216
171,Fundamental Counting Principle,1113
172,Fundamental Theorem of Algebra,"554, 555"
173,latus rectum,"996, 998, 999, 1003"
174,leading coefficient,"60, 60, 495, 547"
175,leading term,"60, 60, 495"
176,learning sciences,45
177,least common denominator,"86, 122"
178,least squares regression,440
179,left column,69
180,linchpin topics,"46, 46"
181,linear,434
182,linear equation,120
183,linear equation with three variables,821
184,Linear Factorization Theorem,"556, 556"
185,linear function,"381, 382"
186,Linear functions,377
187,linear growth,632
188,linear model,"421, 436"
189,Linear Regression Model,764
190,linear relationship,436
191,local extrema,267
192,local maximum,"267, 526"
193,local minimum,"267, 526"
194,logarithm,671
195,logarithmic equation,731
196,Logarithmic Function,741
197,logarithmic model,769
198,logistic growth model,750
199,long division,536
200,lower limit of summation,1095
201,Gauss,"826, 889"
202,Gaussian elimination,"826, 891, 893"
203,general form,"462, 467"
204,general form of a quadratic function,469
205,general form of the equation of a circle,950
206,general term,1048
207,geometric sequence,"1079, 1083, 1098"
208,geometric series,1099
209,global maximum,"526, 526"
210,global minimum,"526, 526"
211,graph in two variables,104
212,graphing,237
213,greatest common factor,"72, 72, 164"
214,growth mindset,57
215,icons,69
216,identity equation,120
217,identity matrix,"906, 906, 911"
218,identity property of addition,18
219,identity property of multiplication,18
220,illustrations,69
221,imaginary number,152
222,Imaginary numbers,150
223,inconsistent equation,120
224,inconsistent system,"803, 811, 830"
225,increasing function,"268, 383"
226,increasing linear function,383
227,independent system,803
228,independent variable,"213, 628"
229,index,"53, 53"
230,index of summation,1095
231,inequality,849
232,infinite geometric sequence,1101
233,infinite sequence,"1048, 1052"
234,infinite series,1101
235,input,214
236,integers,"11, 14"
237,intercepts,106
238,Intermediate Value Theorem,"523, 523"
239,interpolation,439
240,intersection,1135
241,interval,191
242,interval notation,"191, 237, 241, 268"
243,inverse function,"351, 597"
244,inverse matrix,"911, 912"
245,inverse of a radical function,600
246,inverse of a rational function,602
247,inverse property of addition,19
248,inverse property of multiplication,19
249,inverse variation,611
250,inverse variations,612
251,inversely proportional,612
252,inverses,346
253,invertible functions,595
254,invertible matrix,"906, 924"
255,irrational numbers,"12, 14"
256,joint variation,613
257,half-life,"734, 743"
258,heading,69
259,Heaviside method,862
260,horizontal asymptote,"569, 575, 577"
261,magnitude,"252, 305"
262,main diagonal,891
263,major and minor axes,954
264,major axis,"952, 956"
265,matrix,"870, 873, 873, 889"
266,matrix multiplication,"879, 907, 912"
267,matrix operations,873
268,maximum value,466
269,midpoint formula,111
270,mind map,69
271,minimum value,466
272,minor axis,952
273,minor of an entry,903
