,concept,pages,level
0,best ﬁt line,296,1
1,block matrix,345,1
2,box,355,1
3,orientation,357,2
4,sense,357,2
5,volume,357,2
6,accuracy,,1
7,"accuracy, of Gauss’s Method","72,72,74,75",2
8,"accuracy, rounding error",74,2
9,adding rows,5,1
10,addition of vectors,"17,38,84",1
11,additive inverse,84,1
12,adjacency matrix,252,1
13,adjoint matrix,366,1
14,adjugate matrix,366,1
15,aﬃne transformation,396,1
16,algebraic multiplicity,418,1
17,angle,46,1
18,antipodal points,384,1
19,antisymmetric matrix,151,1
20,arrow diagram,"238,256,262,267,402",1
21,augmented matrix,16,1
22,automorphism,177,1
23,"automorphism, dilation",177,2
24,"automorphism, reﬂection",178,2
25,"automorphism, rotation",178,2
26,C language,72,1
27,canonical form,,1
28,"canonical form, for matrix equivalence",271,2
29,"canonical form, for nilpotent matrices",435,2
30,"canonical form, for row equivalence",61,2
31,"canonical form, for similarity",454,2
32,Cauchy-Schwarz Inequality,45,1
33,Cayley-Hamilton theorem,443,1
34,central projection,381,1
35,change of basis,"262,263,264,265,266,000,000,000,000,000,000,000,000",1
36,characteristic,,1
37,"characteristic, equation",416,2
38,"characteristic, polynomial",416,2
39,"characteristic, root",423,2
40,"characteristic, vectors values",412,2
41,characterize,184,1
42,characterizes,272,1
43,Chemistry problem,"1,11,25",1
44,Chiò’s method,"376,377,378,379",1
45,circuits,,1
46,"circuits, parallel",77,2
47,"circuits, series",77,2
48,"circuits, series-parallel",78,2
49,back-substitution,5,1
50,basis,"121,122,123,124,125,000,000,000,000,000,000,000,000,000,000",1
51,"basis, Jordan chain",452,2
52,"basis, Jordan string",452,2
53,"basis, orthogonal",281,2
54,"basis, orthogonalization",282,2
55,"basis, orthonormal",283,2
56,"basis, standard","122,401",2
57,"basis, string",431,2
58,determinant,"326,331,332,333,334,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1
59,"determinant, Cramer’s rule",370,2
60,"determinant, Laplace expansion",365,2
61,"determinant, minor",364,2
62,"determinant, permutation expansion","342,346,372",2
63,"determinant, using cofactors",364,2
64,diagonal matrix,"230,248",1
65,diagonalizable,"408,409,410,411,412",1
66,diamond,157,1
67,dilation,"177,303",1
68,"dilation, representing",221,2
69,dimension,131,1
70,"dimansional, constant",165,2
71,"dimensional, formula",165,2
72,direct map,323,1
73,direct sum,"144,145,146,147,148,000,000,000,000",1
74,"direct sum, external",183,2
75,"direct sum, internal",183,2
76,"direct sum, of two subspaces",148,2
77,direction vector,39,1
78,distance-preserving map,319,1
79,division theorem,398,1
80,dot product,43,1
81,double precision,74,1
82,dual space,210,1
83,Duality Principle of projective geometry,386,1
84,closure,100,1
85,"closure, of null space",427,2
86,"closure, of range space",427,2
87,cofactor,364,1
88,column,15,1
89,"column, rank",137,2
90,"column, full rank",143,3
91,"column, space",137,2
92,"column, vector",16,2
93,combining rows,5,1
94,complementary subspaces,148,1
95,"complementary subspaces, orthogonal",288,2
96,complete equation,165,1
97,complex numbers,400,1
98,"complex numbers, vector space over ","95,398",2
99,component of a vector,16,1
100,self-composition,424,1
101,computer algebra systems,"65,66",1
102,computer graphics,"392,393,394,395,396",1
103,concatenation of sequences,146,1
104,conditioning number,75,1
105,congruent plane ﬁgures,319,1
106,constant polynomial,398,1
107,convex set,198,1
108,coordinates,,1
109,"coordinates, homogeneous","383,392",2
110,"coordinates, with respect to a basis",124,2
111,correspondence,175,1
112,coset,210,1
113,Coupled Oscillators,"482,483,484,485,486",1
114,Cramer’s rule,"369,370,371",1
115,cross product,330,1
116,crystals,"155,156,157,158",1
117,"crystals, unit cell",156,2
118,echelon form,6,1
119,"echelon form, free variable",13,2
120,"echelon form, leading entry",15,2
121,"echelon form, leading variable",6,2
122,"echelon form, matrix",15,2
123,"echelon form, reduced",51,2
124,eigenspace,417,1
125,"eigenvalue, eigenvector",412,1
126,"eigenvalue, eigenvector, of a matrix",413,2
127,"eigenvalue, eigenvector, of a transformation",412,2
128,elementary matrix,250,1
129,elementary reduction matrix,"250,302",1
130,dangling link,471,1
131,degree of a polynomial,398,1
132,Desargue’s Theorem,387,1
133,function,,1
134,"function, extended linearly",194,2
135,"function, inverse",255,2
136,"function, left inverse",255,2
137,"function, multilinear",338,2
138,"function, odd",105,2
139,"function, right inverse",255,2
140,"function, structure preserving","175,179",2
141,"function, homomorphism",191,2
142,"function, two-sided inverse",255,2
143,"function, zero",192,2
144,Fundamental Theorem of Algebra,400,1
145,Fundamental Theorem of Linear Algebra,294,1
146,elementary reduction operations,5,1
147,"elementary reduction operations, rescaling",5,2
148,"elementary reduction operations, row combination",5,2
149,"elementary reduction operations, swapping",5,2
150,"elementary reduction operations, by matrix multiplication",250,2
151,elementary row operations,5,1
152,"elementary row operations, by matrix multiplication",250,2
153,"elimination, Gaussian",3,1
154,"entry, matrix",15,1
155,isomorphism,184,1
156,equivalence relation,,1
157,"equivalence relation, matrix equivalence",270,2
158,"equivalence relation, matrix similarity",404,2
159,"equivalence relation, row equivalence",53,2
160,Erlanger Program,320,1
161,even functions,"105,150",1
162,even polynomials,463,1
163,extended linearly,194,1
164,external direct sum,183,1
165,Gauss’s Method,3,1
166,"Gauss’s Method, accuracy","72,73,75",2
167,"Gauss’s Method, back-substitution",5,2
168,"Gauss’s Method, by matrix multiplication",250,2
169,"Gauss’s Method, elementary operations",5,2
170,"Gauss's Method, Gauss-Jordan Method",51,2
171,Gaussian elimination,3,1
172,generalized null space,427,1
173,generalized range space,427,1
174,generated,27,1
175,generated by,27,1
176,geometric multiplicity,418,1
177,Geometry of Linear Maps,"301,302,303,304,305,000,000",1
178,Google matrix,472,1
179,Gram-Schmidt process,"280,281,282,283,284,000",1
180,graphite,156,1
181,factor,399,1
182,ﬁeld,"153,154",1
183,ﬁnite-dimensional vector space,129,1
184,"ﬂat, k-ﬂat",40,1
185,free variable,13,1
186,full column rank,143,1
187,full row rank,143,1
188,"function, inverse image",201,2
189,"function, distance-preserving",319,2
190,"function, even",105,2
191,historyless process,314,1
192,homogeneous coordinate vector,"383,392",1
193,homogeneous coordinates,324,1
194,homogeneous equation,24,1
195,homomorphism,191,1
196,"homomorphism, composition",238,2
197,isomorphism,"173,174,175,176,177,000,000,000,000,000,000,000,000,000,000,000,000",1
198,"homomorphism, matrix representing","212,213,214,215,216,000,000,000,000,000,000,000",2
199,"homomorphism, nonsingular",227,2
200,"homomorphism, null space",204,2
201,"homomorphism, nullity",204,2
202,"homomorphism, range space",200,2
203,"homomorphism, rank",225,2
204,"homomorphism, singular",227,2
205,"homomorphism, zero",192,2
206,hyperplane,40,1
207,Jordan block,"452,454",1
208,Jordan chain,452,1
209,Jordan form,"440,441,442,443,444,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1
210,Jordan string,452,1
211,kernel of linear map,204,1
212,Kirchhoﬀ’s Laws,77,1
213,Laplace determinant expansion,"363,364,365,366,367,000",1
214,Last Supper,380,1
215,leading entry,15,1
216,leading variable,6,1
217,least squares,"295,296,297,298,299,000",1
218,length of a vector,42,1
219,line,38,1
220,"line, in projective plane",385,2
221,line at inﬁnity,386,1
222,"line, of best ﬁt","295,296,297,298,299,000",2
223,linear combination,2,1
224,Linear Combination Lemma,57,1
225,linear elimination,3,1
226,linear equation,2,1
227,"linear equation, coeﬃcients",2,2
228,"linear equation, constant",2,2
229,"linear equation, homogeneous",24,2
230,"linear equation, inconsistent systems",295,2
231,"linear equation, satisﬁed by a vector",17,2
232,"linear equation, solution of",2,2
233,"linear equation, solution of, Cramer’s rule",370,3
234,"linear equation, solution of, Gauss’s Method",4,3
235,"linear equation, solution of, Gauss-Jordan",51,3
236,"linear equation, system of",2,2
237,linear extension of a function,194,1
238,ideal line,386,1
239,ideal point,386,1
240,identity,,1
241,"identity, matrix",247,2
242,ill-conditioned problem,73,1
243,index of nilpotency,430,1
244,inherited operations,85,1
245,inner product,43,1
246,Input-Output Analysis 67–71,"67,68,69,70,71",1
247,internal direct sum,"148,183",1
