,concept,pages,level
0,∈,2,1
1,/∈,2,1
2,nth Roots of Unity,49,1
3,"nth root, of a complex number","44, 45",2
4,x-axis,12,1
5,x-coordinate,12,1
6,y-axis,12,1
7,y-coordinate,12,1
8,abscissa,12,1
9,absolute value,14,1
10,adjugate,337,1
11,antisymmetric,305,1
12,"argument, of a complex number, definition of",35,3
13,"argument, of a complex number, properties of",38,3
14,augmented matrix,129,1
15,back substitution,138,1
16,basic solution,177,1
17,basic variable,150,1
18,basis,282,1
19,"basis, of a null space",291,2
20,Cartesian coordinate plane,12,1
21,Cartesian coordinates,12,1
22,characteristic polynomial,"346, 369",1
23,cis(θ),39,1
24,cofactor,314,1
25,"cofactor, expansion","316, 322",2
26,"cofactor, matrix",337,2
27,"column, pivot",288,2
28,column space,287,1
29,column vector,191,1
30,Complex Factorization Theorem,26,1
31,"complex number, nth root","44, 45",2
32,"complex number, nth Roots of Unity",49,2
33,"complex number, argument, definition of",35,3
34,"complex number, argument, properties of",38,3
35,"complex number, complex conjugate, definition of",21,3
36,"complex number, conjugate, properties of",22,3
37,"complex number, definition of","19, 35",2
38,"complex number, imaginary part",35,2
39,"complex number, imaginary unit, i",19,2
40,"complex number, modulus, definition of",35,3
41,"complex number, modulus, properties of",37,3
42,"complex number, polar form, cis-notation",39,3
43,"complex number, principal argument",35,2
44,"complex number, real part",35,2
45,"complex number, rectangular form",35,2
46,complex numbers,19,1
47,"complex numbers, addition",20,2
48,"complex numbers, equality",20,2
49,"complex numbers, multiplication",20,2
50,complex plane,35,1
51,"conjugate, complex conjugate, definition of",21,3
52,"conjugate of a complex number, properties of",22,2
53,consistent,"147, 180, 181",1
54,"coordinates, Cartesian",12,2
55,"coordinates, polar",29,2
56,"coordinates, rectangular",29,2
57,Cramer’s Rule,334,1
58,"cross product, applications",82,2
59,"cross product, applications, area of parallelogram",83,3
60,"cross product, applications, torque",85,3
61,"cross product, applications, volume of parallelepiped",84,3
62,"cross product, definition",77,2
63,"cross product, properties","80, 81",2
64,DeMoivre’s Theorem,40,1
65,"dependent, linear",117,2
66,"determinant, and elementary row operations",326,2
67,"determinant, definition",317,2
68,"determinant, of 2 × 2 matrices",313,2
69,"determinant, of triangular matrices",325,2
70,"determinant, properties",331,2
71,diagonal,235,1
72,"diagonal, definition",300,2
73,diagonalizable matrix,374,1
74,diagonalization,372,1
75,"diagonalization, orthogonal",377,2
76,"diagram, Venn Diagram",3,2
77,dimension,282,1
78,"distance, between points in space",52,2
79,"distance, definition",14,2
80,"distance, distance formula",14,2
81,"dot product, definition",67,2
82,"dot product, properties",68,2
83,eigenspace,371,1
84,"eigenvalue, definition",342,2
85,"eigenvalue, finding",346,2
86,"eigenvalue, properties",364,2
87,elementary matrix,238,1
88,elementary operation,130,1
89,elementary row operation,130,1
90,elementary row operations,135,1
91,"elementary row operations, and determinants",326,2
92,empty set,3,1
93,equivalence relation,368,1
94,"factorization, over the complex numbers",26,2
95,free variable,"148, 150",1
96,Fundamental Theorem of Algebra,26,1
97,Gaussian elimination,"137, 140",1
98,"Gaussian elimination, backward steps",139,2
99,"Gaussian elimination, forward steps",139,2
100,Head To Tail Rule,58,1
101,homogeneous,"176, 180, 181",1
102,identity matrix,207,1
103,imaginary axis,35,1
104,imaginary part of a complex number,35,1
105,"imaginary unit, i",19,1
106,inconsistent,147,1
107,"independent, linear",117,2
108,initial point,55,1
109,intersection of two sets,2,1
110,"inverse, computing",224,2
111,"inverse, definition",220,2
112,"inverse, Invertible Matrix Theorem",230,2
113,"inverse, properties","230, 235",2
114,"inverse, uniqueness",222,2
115,Invertible Matrix Theorem,"230, 331, 365",1
116,Jordan Canonical Form,377,1
