,concept,pages,level
0,Best-ﬁt problem,393,1
1,"Best-ﬁt problem, best-ﬁt line",393,2
2,Block Diagonalization Theorem,320,1
3,B-coordinates,103,1
4,"B-coordinates, change of basis matrix",264,2
5,"B-coordinates, computing row reduction",108,2
6,"B-coordinates, computing with respect to an orthogonal basis",380,2
7,"B-coordinates, labeling points",103,2
8,"B-coordinates, nonstandard grid",105,2
9,Characteristic polynomial,252,1
10,"Characteristic polynomial, and eigenvalues",253,2
11,"Characteristic polynomial, factoring by hand",258,2
12,"Characteristic polynomial, of similar matrices",274,2
13,"Algebraic multiplicity, and diagonalizability",294,2
14,"Algebraic multiplicity, and geometric multiplicity",294,2
15,Algebraic multiplicity,293,1
16,"Algebraic multiplicity, of similar matrices",297,2
17,Color space,4,1
18,orthogonal complement of Column Space,350,1
19,Column space and invertibility,251,2
20,Column space,88,1
21,"Column space, is a subspace",88,2
22,"column space, is row space of transpose",354,2
23,"column space, of an orthogonal projection",371,2
24,"column space, orthogonal complement of",355,2
25,"column space, range of a transformation",124,2
26,Basis,93,1
27,"basis, and orthogonal projection",367,2
28,"Basis, basis theorem",100,2
29,"Basis, of Rn","94,95",2
30,"Basis, of a column space",96,2
31,"Basis, of a null space",99,2
32,"Basis, of a span",97,2
33,"Basis, span of an orthogonal set",376,2
34,"Basis, uniqueness with respect to basis",102,2
35,complex eigenvalue,,1
36,"complex eigenvalue, and rotation-scaling matrices",310,2
37,"determinant, transpose property",200,2
38,Diagonal matrix,192,1
39,"complex eigenvalue, different rotation-scaling matrices",316,2
40,"Diagonalizability, algebraic-geometric multiplicity criterion",294,2
41,"complex eigenvalue, dynamics of","316,318,319",2
42,"complex eigenvalue, geometry of",309,2
43,"complex eigenvalue, conjugate pairs",304,2
44,"complex eigenvalue, existence of",301,2
45,"complex numbers, absolute value",410,2
46,"complex numbers, arithmetic of",410,2
47,"complex numbers, conjugation",410,2
48,complex numbers,409,1
49,"complex numbers, real and imaginary parts of",410,2
50,Cramer’s rule,219,1
51,"Cramer's rule, and computing inverses",218,2
52,"diagonalizability, criterion",280,2
53,"diagonalizability, criterion for similarity",299,2
54,diagonalizability,278,1
55,"diagonalizability, diagonal matrices",278,2
56,"diagonalizability, distinct eigenvalues",280,2
