,concept,pages,level
0,Adjoint classical,"148, 159",2
1,Adjoint of transformation,295,2
2,Admissible subspace,232,1
3,Algebra,117,1
4,Algebra of formal power serie�,119,2
5,self-adjoint Algebra,345,2
6,Algebraically closed field,138,1
7,Alternating n-linear function,"144, 169",1
8,Annihilator of subset,101,2
9,Annihilator of sum and intersection,106,2
10,Annihilator of vector ( T-annihilator),"201, 202, 228",2
11,Approximation,283,1
12,Associativity,1,1
13,Associativity of matrix multiplication,"19, 90",2
14,Associativity of vector addition,28,2
15,Augmented matrix,14,1
16,Axiom o f  choice,400,1
17,Basis,41,1
18,change of Basis,92,2
19,dual Basis,"99, 165",2
20,for module Basis,164,2
21,ordered Basis,50,2
22,orthonormal Basis,281,2
23,standard b!4�is of l!'n Basis,41,2
24,Bessel's inequality,287,1
25,Bilinear form,"166, 320, 359",1
26,diagonalization of Bilinear form,370,2
27,group preserving Bilinear form,379,2
28,matrix of Bilinear form,362,2
29,non-degenerate ( non-singular) Bilinear form,365,2
30,positive definite Bilinear form,368,2
31,rank of Bilinear form,865,2
32,signature of Bilinear form,872,2
33,skew-symmetric Bilinear form,375,2
34,symmetric Bilinear form,367,2
35,Cauchy-Schwarz inequality,278,1
36,Cayley-Hamilton theorem,"194, 237",1
37,Cayley transform,309,1
38,Characteristic of a field,3,2
39,Characteristic polynomial,183,2
40,Characteristic space,182,2
41,Characteristic value,"182, 183",2
42,Characteristic vector,182,2
43,Classical adjoint,"148, 159",1
44,Coefficients of polynomial,120,1
45,Cofactor,158,1
46,equivalence,256,1
47,operations,"26, 256",1
48,rank,"72, 114",1
49,Commutative algebra,117,2
50,Commutative group,83,2
51,Commutative ring,140,2
52,Companion matrix,230,1
53,Complementary Bubspace,231,1
54,orthogonal Complementary Bubspace,286,2
55,Composition,390,1
56,Conductor,"201, 202, 232",1
57,Congruence,"139, 393, 396",1
58,Conjugate,271,1
59,transpose Conjugate,272,2
60,Conjugation,276,1
61,Coordinates,50,1
62,coordinate matrix Coordinates,51,2
63,Coset,"177, 396",1
64,Cramer's rule,161,1
65,Cyclie decomposition theorem,233,2
66,Cyclie subspace,227,2
67,Cyclie vector,227,2
68,Degree of multilinear form,166,2
69,Degree of polynomial,119,2
70,"Dependence, linear","40, 47",1
71,Derivative of polynomial,"129, 266",1
72,Determinant function,144,1
73,existence of Determinant function,147,2
74,for linear transformations Determinant function,172,2
75,uniqueness of Determinant function,152,2
76,Determinant rank,163,1
77,Diagonalizable operator,185,2
78,Diagonalizable part of linear operator,222,2
79,Diagonalizable simultaneously,207,2
80,Diagonalization,"204, 207, 216",1
81,Diagonalization of Hermitian form,323,2
82,Diagonalization of self-adjoint matrix (operator),314,2
83,Diagonalization of symmetric bilinear form,370,2
84,unitary Diagonalization,317,2
85,Differential equations,223,1
86,Dimension,44,1
87,formula Dimension,46,2
88,Direct sum,210,1
89,invariant Direct sum,214,2
90,Direct sum of matrices,214,2
91,Direct sum of operators,214,2
92,Distance,289,1
93,Division with remainder,128,1
94,Dual basi�,"99, 165",2
95,Dual modllle,165,2
96,Dual space,98,2
97,Elementary column operation,"26, 256",2
98,Elementary Jordan matrix,245,2
99,Elementary matrix,"20, 253",2
100,Elementary row operation,"6, 252",2
101,Empty set,388,1
102,"Entrie,; of a matrix",6,1
103,Equiv2Jence relation,393,1
104,Equivalent systems of equations,4,1
105,Euelidean space,277,1
106,Exterior (wedge) product,"175, 177",1
107,Fm x n,"29, 29",1
108,Factorization of polynomial,136,1
109,"Factor:"" invariant","2, 261",1
110,algebraically closed Field,138,2
111,subfield Field,2,2
112,Finite-dimensional,41,1
113,Finitely generated module,165,1
114,Form alternating,169,2
115,Form bilinear,"166, 320, 359",2
116,Form Hermitian,323,2
117,matrix of Form,322,2
118,Form mnhilinear,166,2
119,Form non-degenerate,324,2
120,Form non-negative,32,2
121,Form normal,"257, 261",2
122,Form quadratic,"273, 368",2
123,Form r-linear,166,2
124,Form rational,238,2
125,Form sesq �i-linear,320,2
126,Formal power series,119,1
127,Free module,164,1
128,Function,389,1
129,determinant Function,144,2
130,identity Function,390,2
131,inverse of Function,391,2
132,invertible Function,390,2
133,linear Function,"67, 97, 291",2
134,multilinear Function,166,2
135,n-linear Function,142,2
136,polynomial function Function,30,2
137,range of Function,389,2
138,restriction of Function,391,2
139,Fundamental theorem of algebra,138,1
140,Gram-Schmidt process,"280, 287",1
141,"Gra,�sman ring",180,1
142,Greatest common divisor,13,1
143,Group,82,1
144,commutative Group,83,2
145,general linear Group,307,2
146,Lorentz Group,382,2
147,orthogonal Group,380,2
148,pseudo-orthogonal Group,381,2
149,symmetric Group,15,2
150,Hermitian form,323,1
151,Homogeneous system of linear equations,4,1
152,Hyperspace,"101, 109",1
153,Ideal,131,1
154,principal ideal Ideal,131,2
155,Identity element,"117, 140",2
156,Identity function,390,2
157,Identity matrix,9,2
