wiki_concept,pages
ALGOL 58,"471, 471"
Abstraction (mathematics),"376, 377, 378, 379"
AdS/CFT correspondence,175
Addition,5
Additive inverse,84
Adjacency matrix,252
Adjoint,366
Adjugate matrix,"366, 366"
Affine transformation,"195, 303, 396, 424"
Alex Sink,"471, 471"
Algebra,
Algebraic number field,401
Alternating multilinear map,338
Andrey Markov,253
Angle,46
Antimagic square,308
Antipodal point,384
Automorphism,"177, 178"
Baden Powell (mathematician),482
Basis (linear algebra),"000, 121, 122, 123, 124, 125"
Basis function,"122, 281, 283, 401"
Block matrix,"15, 345"
Block-stacking problem,"1, 5"
Box plot,355
Bridge (disambiguation),"78, 80"
Canonical form,"000, 51, 440, 441, 442, 443, 444, 454"
Canonical normal form,61
Cartan matrix,452
Cauchy matrix,336
Cauchy–Schwarz inequality,45
Cayley–Hamilton theorem,443
Change of basis,"000, 262, 263, 264, 265, 266"
Characteristic,
Characteristic equation (calculus),"416, 423"
Characteristic function,412
Characteristic polynomial,"416, 416"
Characterization (mathematics),272
Chemistry,"1, 11, 25"
Circuit (computer science),
Closure (mathematics),"27, 100"
Coefficient,15
Complement,148
Complemented subspace,"148, 288"
Complex number,400
Computational complexity of mathematical operations,250
Computer algebra system,"65, 66"
Computer graphics (computer science),"392, 393, 394, 395, 396"
Concatenation,"146, 146"
Condition number,"75, 75"
Congruence (geometry),"319, 319"
Conjugacy class,456
Consistent and inconsistent equations,295
Constant function,398
Convex set,198
Coordinate system,"383, 392"
Coordinate vector,124
Coset,210
Cramer's rule,"369, 370, 371"
Crank–Nicolson method,4
Cross product,"330, 330, 379"
Crystal (mathematics),"155, 156, 157, 158"
Crystal oscillator,"482, 483, 484, 485, 486"
Crystal structure,156
Cubic equation,165
Curve,"227, 256"
Cyclic permutation,"248, 341"
DFT matrix,364
Data analysis,"67, 68, 69, 70, 71"
Definable,"185, 186"
Definite matrix,151
Degree of a polynomial,398
Desargues's theorem,387
Determinant,"000, 326, 331, 332, 333, 334, 343, 352, 364"
Diagonal,247
Diagonal matrix,"230, 248, 408"
Diagonalizable group,"408, 409, 410, 411, 412"
Diamond,157
Dilation (morphology),"177, 221, 303"
Dilution (equation),155
Dimension,"131, 165"
Dimension (vector space),165
Direct sum,"000, 144, 145, 146, 147, 148, 148, 183, 183, 323"
Direct sum of groups,"183, 183"
Direct sum of modules,148
Distance matrix,16
Division (mathematics),"5, 261"
Dot product,"43, 43"
Dual space,"136, 200, 210"
Echelon formation,"6, 15"
Eigendecomposition of a matrix,413
Eigenvalues and eigenvectors,"412, 412"
Elementary mathematics,5
Elementary matrix,"250, 250"
Equivalence relation,53
Erlangen program,320
Euclidean distance,319
Euclidean vector,"16, 17, 38, 39, 43, 84, 283"
Examples of vector spaces,"95, 398"
Factor,399
Field (mathematics),"153, 154"
Field trace,462
Five-dimensional space,427
Flat Earth,40
Flow diagram,"238, 256, 262, 267, 402"
Flow network,"76, 77, 78, 79, 80, 81"
Formal language,72
Function (mathematics),"105, 150, 192, 194, 313, 424"
Function composition,"175, 179, 238"
Fundamental theorem of algebra,400
Fundamental theorem of linear algebra,294
Gamma matrices,404
Gauss's method,"3, 72, 72, 73, 74, 75"
Gaussian elimination,"3, 5, 16, 51, 250, 250, 302"
Gauss–Bonnet theorem,51
General linear group,5
Generalized eigenvector,417
Generalized inverse,"000, 254, 255, 256, 257, 258"
Generator (mathematics),"27, 27"
Geometric transformation,396
Glide reflection,323
Google,472
Google matrix,472
Gram–Schmidt process,"000, 280, 281, 282, 283, 284"
Graph isomorphism problem,184
Graphene,156
Group representation,"124, 262"
Guitar tunings,452
Hadamard matrix,"000, 212, 213, 214, 215, 216"
Hadamard product (matrices),215
Heat equation,"24, 24"
Helmert transformation,423
History of mathematical notation,342
Homogeneous coordinates,"324, 383, 383, 392"
Homogeneous polynomial,89
Homology (mathematics),227
Homomorphism,"191, 191, 192, 204"
Horner's method,"464, 465, 467"
Hyperplane,40
Hölder's inequality,45
Ideal (ring theory),386
Ideal gas,386
Identity (mathematics),
Identity matrix,247
Indexed family,113
Indian mathematics,191
Induced homomorphism,227
Insulin resistance,76
Integration by substitution,5
Invariant (mathematics),"431, 456"
Invariant subspace,"439, 456"
Inverse element,84
Inverse function,"255, 255"
Inverse function rule,255
Inverse problem,"201, 201"
Inversion (discrete mathematics),347
Invertible matrix,366
Involution (mathematics),5
Involutory matrix,30
Irreducible polynomial,399
Isometry,319
Isomorphism,"000, 173, 174, 175, 176, 177, 184"
Isomorphism theorems,204
John von Neumann,105
Jordan matrix,"452, 454"
Jordan normal form,"454, 454"
Krylov subspace,144
LC circuit,77
LINPACK,65
Laplace expansion,"000, 342, 346, 363, 364, 365, 366, 367, 372"
Last Supper,380
Least squares,"000, 295, 296, 297, 298, 299"
Legendre polynomials,463
Line (geometry),38
Line chart,"000, 295, 296, 297, 298, 299"
Linear combination,2
Linear differential equation,17
Linear equation,"2, 2"
Linear group,40
Linear independence,"109, 109"
Linear interpolation,194
Linear map,"000, 191, 204, 301, 302, 302, 303, 303, 304, 304, 305, 322"
Linear regression,"110, 110"
Linear span,100
Linear subspace,"13, 96, 97, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 288"
Linearity,194
List of named matrices,"6, 435"
List of paradoxes,160
List of theorems,398
MATLAB,65
Magic square,"308, 309, 310, 311, 312"
Map (mathematics),
Map projection,"319, 381"
Maple (software),65
Markov chain,"000, 313, 314, 314, 315, 316, 317, 452, 452"
Mathematical induction,26
Mathematics,"65, 85, 464, 465, 467"
Matrix (mathematics),"15, 17, 136, 184, 204, 222, 234, 250, 252, 253, 271, 336, 345, 364, 366, 368"
Matrix calculus,233
Matrix decomposition,"15, 30, 227"
Matrix determinant lemma,"326, 332"
Matrix equivalence,"000, 53, 267, 268, 269, 270, 270, 271"
Matrix exponential,"250, 302, 345"
Matrix multiplication,"17, 235, 237"
Matrix norm,"17, 30, 136, 225, 233, 235, 253, 309, 462, 464"
Matrix representation,214
Matrix similarity,"361, 404, 404"
Matrix splitting,466
Matrix unit,245
Method of complements,15
Minimal polynomial (field theory),"244, 441"
Minimal polynomial (linear algebra),"244, 441"
Minor (linear algebra),364
Module homomorphism,"200, 205, 225"
Moment (mathematics),51
Morphism,175
Multilinear map,338
Multiplication,
Multiplication sign,215
Multiplicative inverse,"255, 255"
Multiplicity (mathematics),"399, 418, 418"
Multiset,"113, 418, 418"
Musical isomorphism,175
Nakayama's lemma,57
Nilpotent,"000, 428, 429, 430, 430, 431, 432"
Nilpotent matrix,"430, 430"
Non-negative matrix factorization,271
Nonlinear system,476
Normal distribution,3
Normal matrix,408
Normal mode,309
Normed vector space,"129, 195"
Null set,204
Ohm's law,77
Opposite category,323
Orientation (geometry),"357, 357, 361"
Orientation character,"323, 323"
Orthogonal basis,281
Orthogonal complement,288
Orthogonal group,227
Orthogonal matrix,"000, 319, 320, 321, 322, 323"
Orthogonality (mathematics),"46, 282, 282, 321"
Orthographic projection,288
Orthonormal basis,"000, 283, 319, 320, 321, 322, 323"
Outer product,43
Overfitting,296
PageRank,"470, 471, 472, 473"
Paradox,"000, 159, 160, 161, 162, 163"
Parallel (operator),77
Parallelepiped,355
Parallelogram law,38
Parameter,14
Parametrization (geometry),14
Partial correlation,74
Participation criterion,159
Partition (number theory),
Partition function (mathematics),"270, 272"
Partition of a set,53
Pauli matrices,233
Pendulum,74
Penrose triangle,387
Permutation,341
Permutation City,"342, 346, 372"
Permutation matrix,"248, 341"
Permutation test,347
Perpendicular,"46, 46"
Phase (waves),429
Pivot element,75
Plane stress,319
Point (geometry),
Point reflection,178
Polynomial,"398, 398, 399"
Polynomial interpolation,440
Polynomial remainder theorem,398
Polynomial ring,"398, 399, 441, 463, 478"
Population dynamics,"468, 469"
Potential energy,76
Precision (computer science),"72, 74"
Probability vector,314
Projection (linear algebra),"276, 286, 288"
Projection (mathematics),"191, 201, 275, 276, 294, 381, 447"
Projective geometry,"000, 380, 381, 382, 383, 384, 386, 386"
Projective plane,"383, 385, 392"
Projective space,286
Proper map,97
Quantum dynamics,177
Random variable,6
Range space,200
Rank (linear algebra),"15, 136, 137, 137, 140, 143, 225"
Real projective line,61
Real projective plane,385
Reciprocal polynomial,441
Recurrence plot,"364, 474, 476"
Recurrence relation,"000, 468, 469, 474, 475, 476, 477, 478"
Reflection (mathematics),"303, 322"
Representation (mathematics),
Representation theory,"124, 214"
Resistance distance,80
Resistor,77
Right triangle,323
Rigid rotor,319
Ring homomorphism,"191, 192"
Roger Penrose,162
Root (disambiguation),399
Rotation (mathematics),"217, 302, 322, 393"
Rotation matrix,237
Round-off error,74
Row and column spaces,"137, 427"
Row equivalence,"51, 53, 270"
Sage (philosophy),65
Scalar (mathematics),84
Scalar multiplication,"17, 233"
Scale parameter,75
Schrödinger equation,17
Self-organizing map,319
Self-similarity,424
Sense,"357, 357"
Sensitivity analysis,258
Separable space,427
Sequence,
Series (mathematics),
Series–parallel graph,78
Set (mathematics),
Set theory,112
Sign (mathematics),"349, 349"
Sign function,"105, 105, 150"
Similarity (geometry),"000, 331, 361, 402, 403, 404, 405, 406"
Singular submodule,227
Singular value,30
Singularity (mathematics),
Size,"356, 358"
Skew-symmetric graph,345
Skew-symmetric matrix,345
Slope,"304, 395"
Space (mathematics),"97, 97"
Spanning tree,27
Sparse matrix,464
Spin (physics),162
Square matrix,379
Square root,463
Standard basis,"122, 401"
State-transition matrix,314
Stochastic,"314, 473"
Stochastic matrix,"314, 473"
String (computer science),431
String theory,429
Structure (mathematical logic),191
Subspace topology,98
Substitution (logic),5
Support vector machine,43
Symmetric matrix,"000, 128, 151, 235, 243, 252"
System of linear equations,"2, 3, 5"
Tensor,5
Tower of Hanoi,478
Trace (linear algebra),"235, 253, 309, 462"
Transformation (function),
Transformation geometry,178
Transformation matrix,447
Transformation semigroup,424
Transformational grammar,429
Transformational theory,358
Translation (geometry),"320, 394"
Transpose,"22, 22, 138, 235"
Transpose of a linear map,143
Triangle,323
Triangle inequality,44
Triangular matrix,"222, 253"
Tridiagonal matrix,"230, 248, 270, 466"
Triviality (mathematics),88122
Turning,178
Uniform space,427
Unit vector,"16, 42, 84"
Unitary matrix,245
Vandermonde matrix,345
Vanish at infinity,"386, 386"
Vanishing point,"380, 380"
Variable (mathematics),13
Variation of parameters,370
Vector (mathematics and physics),"16, 17, 36, 37, 38, 84"
Vector calculus,"17, 37, 84"
Vector notation,"16, 39"
Vector space,"16, 36, 37, 42, 46, 48, 84, 85, 86, 87, 88, 88, 89, 89, 90, 91, 92, 93, 94, 95, 95, 96, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 121, 122, 129, 131, 137, 191, 210, 314, 397"
Vectorization (mathematics),"16, 37"
Voltage,77
Volume,"357, 357"
Weight (representation theory),417
Well-posed problem,73
Weyr canonical form,435
Winding number,178
Woodbury matrix identity,"244, 247"
Zero divisor,243
Zero matrix,234
