,concept,deps
0,Additive identity,"['property', 'set', 'element']"
1,Configuration space (mathematics),"['set', 'configuration', 'system']"
2,Coefficient of variation,['a measure of the variability of a population']
3,Continuum hypothesis,"['theory', 'function', 'continuous']"
4,Series–parallel graph,"['directed line segment', 'graph', 'vertex']"
5,Parallel (operator),"['operator', 'parallel', 'perform']"
6,Subspace theorem,"['theorem', 'proof', 'concept']"
7,Exotic sphere,"['surface', 'sphere', 'spherical']"
8,Coordinate system,['geometry']
9,Triangulation,"['polygon', 'length', 'triangle']"
10,Range space,"['set', 'plane', 'point']"
11,Cholesky decomposition,"['recursion', 'algorithm', 'polynomial']"
12,Remainder,"['remainder', 'division', 'whole number']"
13,Transformation (function),['transformation (mathematics)']
14,Adult development,"['mathematical model', 'development', 'growth']"
15,Relaxation (iterative method),"['method', 'solve', 'equation']"
16,Parity (mathematics),"['property', 'number', 'set']"
17,Definite matrix,"['matrix', 'solution', 'matrix']"
18,Elementary arithmetic,"['arithmetic', 'solve', 'problem']"
19,List of numerical analysis topics,"['list', 'topic', 'concept']"
20,Differentiation rules,"['rule', 'thumb', 'mathematician']"
21,Poisson kernel,"['kernel', 'random', 'variable']"
22,Voltage,"['difference', 'measure', 'point']"
23,Hilbert space,"['set', 'point', 'Hilbert space']"
24,Group action,"['group', 'individual', 'act']"
25,Multilinear map,"['map', 'combination', 'map']"
26,Reduced cost,"['reduced cost', 'cost', 'reduce']"
27,Turning,"['axis', 'rotation', 'axis of revolution']"
28,Positive definiteness,"['positive definiteness', 'cardinality', 'set']"
29,Mathematical and theoretical biology,"['morphology', 'phylogeny', 'and evolution']"
30,Edge contraction,"['change', 'length', 'segment']"
31,Probability theory,"['probability theory', 'statistical inference']"
32,Directed graph,"['directed graph', 'point', 'edge']"
33,Group theory,['Group (mathematics)']
34,Simplex algorithm,"['algorithm', 'solve', 'problem']"
35,Seven-dimensional cross product,"['product', 'vector', 'product']"
36,Eigenvalue algorithm,"['method', 'solve', 'equation']"
37,Antiparallel (mathematics),"['line', 'parallel', 'perpendicular']"
38,Parameter,['a mathematical quantity that specifies the value of a particular quantity']
39,List of paradoxes,"['list', 'paradox', 'mathematical']"
40,Ordered field,"['set', 'element', 'group']"
41,De Moivre's formula,"['area', 'circle', 'formula']"
42,Cosine similarity,"['similarity', 'measure', 'vector']"
43,Split-complex number,"['prime number', 'complex number']"
44,Operator norm,"['difference', 'measure', 'magnitude']"
45,Particle swarm optimization,"['stochastic', 'algorithm', 'algorithmic']"
46,Algebraic structure,"['group', 'set', 'object']"
47,Factorial,"['product', 'number', 'number system']"
48,Shannon number,"['entropy', 'measure', 'data']"
49,Hypothesis,"['true or false', 'statement']"
50,Basis function,"['series', 'function', 'sum']"
