concept,links,dep_articles
Absolute value,"[(4, 'Mathematics', 1, 0), (52, 'Real number', 1, 0), (147, 'Non-negative', 1, 0), (219, 'Sign (mathematics)', 1, 0), (313, 'Positive number', 1, 1), (151, 'Negative number', 1, 0), (712, 'Distance', 1, 3), (892, 'Complex number', 2, 3), (913, 'Quaternion', 2, 3), (926, 'Ordered ring', 2, 3), (941, 'Field (mathematics)', 2, 3), (952, 'Vector space', 2, 3), (1023, 'Magnitude (mathematics)', 2, 3), (1034, 'Distance', 2, 3), (1048, 'Norm (mathematics)', 2, 3)]","['Real number', 'Non-negative', 'Sign (mathematics)', 'Negative number']"
Adjoint,,[]
Adjugate matrix,"[(3, 'Linear algebra', 0, 0), (58, 'Square matrix', 0, 0), (81, 'Transpose', 0, 0), (98, 'Cofactor matrix', 0, 0), (291, 'Hermitian adjoint', 0, 1), (334, 'Conjugate transpose', 0, 1), (405, 'Diagonal matrix', 1, 0), (496, 'Determinant', 1, 0), (687, 'Identity matrix', 3, 2), (773, 'Invertible matrix', 3, 2)]","['Square matrix', 'Transpose', 'Cofactor matrix']"
Affine space,"[(3, 'Mathematics', 0, 0), (47, 'Structure (mathematics)', 0, 0), (100, 'Euclidean space', 0, 0), (248, 'Parallel (geometry)', 0, 0), (294, 'Line segment', 0, 0), (938, 'Vector space', 2, 7), (1043, 'Zero vector', 2, 8), (1303, 'Linear subspace', 2, 8), (938, 'Vector space', 2, 7), (1662, 'System of linear equations#Homogeneous systems', 2, 8), (1961, 'Dimension (vector space)', 3, 4), (2211, 'Affine hyperplane', 3, 4)]","['Structure (mathematics)', 'Euclidean space', 'Parallel (geometry)', 'Line segment']"
Affine transformation,"[(3, 'Euclidean geometry', 0, 0), (109, 'Geometric transformation', 0, 0), (149, 'Line (geometry)', 0, 0), (159, 'Parallelism (geometry)', 0, 0), (192, 'Euclidean distance', 0, 0), (216, 'Angle', 0, 0), (271, 'Automorphism', 1, 0), (290, 'Affine space', 1, 0), (361, 'Function (mathematics)', 1, 0), (376, 'Map (mathematics)', 1, 0), (435, 'Dimension', 1, 1), (452, 'Affine subspace', 1, 1), (588, 'Parallel (geometry)', 1, 2), (1004, 'Composition of functions', 2, 3), (1021, 'Linear transformation', 2, 3), (1054, 'Translation (geometry)', 2, 3), (1334, 'Scaling (geometry)', 3, 1), (1343, 'Homothetic transformation', 3, 1), (1354, 'Similarity transformation (geometry)', 3, 1), (1366, 'Reflection (mathematics)', 3, 1), (1378, 'Rotation (mathematics)', 3, 1), (1388, 'Shear mapping', 3, 1), (1508, 'Hyperplane at infinity', 4, 1), (1536, 'Projective space', 4, 1), (1589, 'Projective transformations', 4, 1), (1679, 'Invariant (mathematics)', 4, 1), (1741, 'Generalization', 5, 3), (1911, 'Field (mathematics)', 5, 3), (2035, 'Vector space', 5, 3), (2117, 'Linear map', 5, 3)]","['Geometric transformation', 'Line (geometry)', 'Parallelism (geometry)', 'Euclidean distance', 'Angle']"
Algebraic number theory,"[(2069, 'Number theory', 1, 3), (2140, 'Abstract algebra', 1, 3), (2170, 'Integers', 1, 3), (2180, 'Rational numbers', 1, 3), (2318, 'Algebraic number field', 1, 3), (2352, 'Rings of integers', 1, 3), (2371, 'Finite field', 1, 3), (2390, 'Algebraic function field', 1, 3), (2352, 'Ring (mathematics)', 1, 3), (2462, 'Factorization', 1, 3), (2493, 'Ideal (ring theory)', 1, 3), (2509, 'Galois group', 1, 3), (2335, 'Field (mathematics)', 1, 3), (2631, 'Diophantine equation', 1, 3)]","['Abstract algebra', 'Integers', 'Rational numbers', 'Algebraic number field', 'Rings of integers']"
Axiom,"[(41, 'Statement (logic)', 1, 0), (71, 'Truth', 1, 0), (91, 'Premise', 1, 0), (178, 'Ancient Greek', 1, 1), (367, 'Classic philosophy', 2, 3), (422, 'Self-evidence', 2, 3), (517, 'Logic', 2, 3), (585, 'Mathematics', 3, 6), (617, '#Logical axioms', 3, 6), (638, '#Non-logical axioms', 3, 6), (949, 'Arithmetic', 3, 6), (1213, 'Parallel postulate', 4, 5), (1235, 'Euclidean geometry', 4, 5), (1689, 'Philosophy of mathematics', 5, 2)]","['Statement (logic)', 'Truth', 'Premise']"
Basic solution (linear programming),"[(3, 'Linear programming', 0, 0), (43, 'Applied mathematics', 0, 0), (186, 'Polyhedron', 1, 0)]","['Linear programming', 'Applied mathematics']"
Basis (linear algebra),"[(3, 'Mathematics', 0, 0), (18, 'Set (mathematics)', 0, 0), (40, 'Vector space', 0, 0), (138, 'Linear combination', 0, 0), (400, 'Linearly independent', 1, 2), (449, 'Linear combination', 1, 2), (539, 'Spanning set', 1, 2), (659, 'Dimension (vector space)', 2, 1)]","['Set (mathematics)', 'Vector space', 'Linear combination']"
Bijection,"[(1129, 'Mathematics', 2, 4), (1181, 'Function (mathematics)', 2, 4), (1284, 'Set (mathematics)', 2, 4), (1550, 'Injective function', 2, 4), (1577, 'Surjective function', 2, 4), (1714, 'Injective function', 2, 4), (1795, 'Inverse function', 3, 3), (1841, 'Finite set', 3, 3), (1937, 'Infinite set', 3, 3), (2011, 'Cardinal number', 3, 3), (2207, 'Symmetric group', 4, 1), (2316, 'Isomorphism', 5, 1), (2330, 'Homeomorphism', 5, 1), (2346, 'Diffeomorphism', 5, 1), (2363, 'Permutation group', 5, 1), (2387, 'Projective map', 5, 1)]","['Function (mathematics)', 'Set (mathematics)', 'Injective function', 'Surjective function', 'Injective function']"
Borel equivalence relation,"[(3, 'Mathematics', 0, 0), (50, 'Polish space', 0, 0), (24, 'Equivalence relation', 0, 0), (18, 'Borel algebra', 0, 0), (137, 'Product topology', 0, 0)]","['Polish space', 'Equivalence relation', 'Borel algebra', 'Product topology']"
Canonical form,"[(3, 'Mathematics', 0, 0), (19, 'Computer science', 0, 0), (80, 'Mathematical object', 0, 0), (149, 'Mathematical expression', 0, 0), (582, 'Positive integer', 1, 2), (602, 'Decimal representation', 1, 2), (738, 'Equivalence relation', 1, 2), (1097, 'Computer algebra', 3, 3), (1348, 'Canonicalization', 3, 3), (2032, 'Differential form', 5, 1)]",['Mathematical expression']
Cardioid,"[(3, 'Geometry', 0, 0), (30, 'Greek language', 0, 0), (67, 'Plane curve', 0, 0), (213, 'Epicycloid', 0, 1), (240, 'Cusp (singularity)', 0, 1), (267, 'Sinusoidal spiral', 0, 2), (293, 'Inverse curve', 0, 2), (314, 'Parabola', 0, 2), (527, 'Giovanni Salvemini', 1, 2), (734, 'Apple', 1, 2), (761, 'Cardioid microphone#Cardioid, hypercardioid, supercardioid, subcardioid', 2, 2), (793, 'Acoustics', 2, 2)]","['Greek language', 'Plane curve']"
Cauchy–Schwarz inequality,"[(150, 'Inequality (mathematics)', 0, 0), (223, 'Augustin-Louis Cauchy', 1, 2), (246, '#CITEREFCauchy1821', 1, 3), (313, 'Viktor Yakovlevich Bunyakovsky', 1, 3), (333, '#CITEREFBunyakovsky1859', 1, 3), (346, 'Hermann Schwarz', 1, 3), (363, '#CITEREFSchwarz1888', 1, 3)]",['Inequality (mathematics)']
Change of basis,"[(334, 'Mathematics', 1, 1), (350, 'Ordered basis', 1, 1), (369, 'Vector space', 1, 1), (392, 'Dimension (vector space)', 1, 1), (470, 'Coordinate vector', 1, 2), (500, 'Finite sequence', 1, 2), (514, 'Scalar (mathematics)', 1, 2), (529, 'Coordinates', 1, 2), (1109, 'Matrix (mathematics)', 2, 1), (1516, 'Column vector', 4, 1), (1754, 'Basis vector', 4, 1)]","['Ordered basis', 'Vector space', 'Dimension (vector space)']"
Characteristic equation (calculus),"[(3, 'Mathematics', 0, 0), (77, 'Algebraic equation', 0, 0), (99, 'Degree of a polynomial', 0, 0), (155, 'Differential equation#Equation order', 0, 0), (161, 'Differential equation', 0, 0), (189, 'Linear difference equation', 0, 0), (311, 'Linear differential equation', 0, 1), (322, 'Homogeneous differential equation#Homogeneous linear differential equations', 0, 1), (352, 'Coefficient', 0, 1), (414, 'Dependent variable', 0, 2), (463, 'Derivative', 0, 2), (937, 'General solution', 4, 4), (1323, 'Linear recurrence with constant coefficients#Solution to homogeneous case', 8, 1), (1417, 'Root of a polynomial', 9, 4), (1667, 'Lyapunov stability', 9, 4), (1693, 'Real part', 9, 4), (1793, 'Complex number#Polar complex plane', 9, 4), (1921, 'Complex number', 9, 4), (1950, 'Integral', 10, 2), (1969, 'Ordinary differential equation', 10, 2), (2046, 'Leonhard Euler', 10, 2), (2265, 'Augustin-Louis Cauchy', 10, 2), (2291, 'Gaspard Monge', 10, 2)]","['Algebraic equation', 'Degree of a polynomial', 'Differential equation#Equation order', 'Differential equation', 'Linear difference equation']"
Chemical reaction network theory,"[(47, 'Applied mathematics', 0, 0), (84, 'Mathematical model', 0, 0), (118, 'Chemistry', 0, 0), (252, 'Biochemistry', 0, 1), (269, 'Theoretical chemistry', 0, 1), (328, 'Pure mathematics', 0, 2), (400, 'Mathematical structure', 0, 2)]","['Applied mathematics', 'Mathematical model', 'Chemistry']"
Cholesky decomposition,"[(3, 'Linear algebra', 0, 0), (95, 'Help:Pronunciation respelling key', 0, 0), (32, 'Matrix decomposition', 0, 0), (132, 'Hermitian matrix', 0, 0), (143, 'Positive-definite matrix', 0, 0), (190, 'Lower triangular matrix', 0, 0), (222, 'Conjugate transpose', 0, 0), (300, 'Monte Carlo simulation', 0, 2), (346, 'Andr%C3%A9-Louis Cholesky', 0, 3), (512, 'LU decomposition', 0, 4), (541, 'System of linear equations', 0, 4)]","['Help:Pronunciation respelling key', 'Matrix decomposition', 'Hermitian matrix', 'Positive-definite matrix', 'Lower triangular matrix']"
Closure (mathematics),"[(18, 'Subset', 0, 0), (21, 'Set (mathematics)', 0, 0), (59, 'Operation (mathematics)', 0, 0), (199, 'Natural number', 0, 1), (504, 'Closure operator', 2, 3), (695, 'Linear span', 2, 3)]","['Subset', 'Set (mathematics)', 'Operation (mathematics)']"
Coefficient,"[(3, 'Mathematics', 0, 0), (65, 'Summand', 0, 0), (75, 'Polynomial', 0, 0), (89, 'Series (mathematics)', 0, 0), (103, 'Expression (mathematics)', 0, 0), (176, 'Variable (mathematics)', 0, 0), (304, 'Parameter', 0, 1), (1137, 'Differential equation', 3, 5), (1398, 'Constant function', 3, 5), (1684, 'Linear differential equation#Non-homogeneous equation with constant coefficients', 3, 5)]","['Summand', 'Polynomial', 'Series (mathematics)', 'Expression (mathematics)', 'Variable (mathematics)']"
Complex conjugate,"[(3, 'Mathematics', 0, 0), (43, 'Complex number', 0, 0), (86, 'Real number', 0, 0), (103, 'Imaginary number', 0, 0), (153, 'Sign (mathematics)', 0, 0), (530, 'Polar coordinate system#Complex numbers', 1, 3), (694, 'Euler%27s formula', 1, 3), (878, 'Polar coordinate system', 2, 1), (913, 'Univariate', 3, 1), (979, 'Complex conjugate root theorem', 3, 1)]","['Complex number', 'Real number', 'Imaginary number', 'Sign (mathematics)']"
Complex conjugate root theorem,"[(3, 'Mathematics', 0, 0), (73, 'Polynomial', 0, 0), (105, 'Real number', 0, 0), (110, 'Coefficient', 0, 0), (38, 'Root of a polynomial', 0, 0), (20, 'Complex conjugate', 0, 0), (265, 'Fundamental theorem of algebra', 1, 2), (310, 'Degree of a polynomial', 1, 2), (341, 'Parity (mathematics)', 1, 2), (409, 'Mathematical proof', 1, 2), (429, 'Intermediate value theorem', 1, 2)]","['Polynomial', 'Real number', 'Coefficient', 'Root of a polynomial', 'Complex conjugate']"
Complex number,"[(4, 'Mathematics', 1, 0), (53, 'Number system', 1, 0), (84, 'Real number', 1, 0), (143, 'Imaginary unit', 1, 0), (177, 'Equation', 1, 0), (423, 'Imaginary number', 1, 1), (443, 'Ren%C3%A9 Descartes', 1, 1), (778, 'Mathematical sciences', 1, 4), (971, 'Polynomial equation', 2, 3), (1064, 'Fundamental theorem of algebra', 2, 3), (1679, 'Associative law', 3, 4), (1692, 'Commutative law', 3, 4), (1709, 'Distributive law', 3, 4), (1763, 'Multiplicative inverse', 3, 4), (1820, 'Field (mathematics)', 3, 4), (1899, 'Real vector space', 3, 4), (1952, 'Standard basis', 3, 4), (2016, 'Cartesian plane', 4, 7), (2044, 'Complex plane', 4, 7), (2281, 'Real line', 4, 7), (2379, 'Absolute value', 4, 7), (2407, 'Unit circle', 4, 7), (2458, 'Translation (geometry)', 4, 7), (2540, 'Similarity (geometry)', 4, 7), (2579, 'Complex conjugation', 4, 7), (2606, 'Reflection symmetry', 4, 7), (2689, 'Euclidean norm', 4, 7), (2785, 'Algebraically closed field', 5, 1), (2815, 'Commutative algebra (structure)', 5, 1), (2857, 'Euclidean vector space', 5, 1)]","['Number system', 'Real number', 'Imaginary unit', 'Equation']"
Component (graph theory),"[(4, 'Graph theory', 1, 0), (36, 'Undirected graph', 1, 0), (58, 'Connected graph', 1, 0), (68, 'Glossary of graph theory#subgraph', 1, 0), (184, 'Disjoint set', 1, 1), (211, 'Induced subgraph', 1, 1), (447, 'Graph invariant', 2, 2), (504, 'Matroid', 2, 2), (514, 'Topological space', 2, 2), (538, 'Matrix (mathematics)', 2, 2), (551, 'Random graph', 2, 2), (622, 'Giant component', 2, 2), (708, 'Percolation threshold', 2, 2), (865, 'Linear time', 3, 3), (913, 'Connected-component labeling', 3, 3), (967, 'Image analysis', 3, 3), (983, 'Dynamic connectivity', 3, 3), (1107, 'Computational complexity theory', 3, 3), (1209, 'Space complexity', 3, 3), (1231, 'Sublinear time', 3, 3)]","['Graph theory', 'Undirected graph', 'Connected graph', 'Glossary of graph theory#subgraph']"
Conformable matrix,"[(4, 'Mathematics', 1, 0), (19, 'Matrix (mathematics)', 1, 0)]",['Matrix (mathematics)']
Conjugate transpose,"[(3, 'Mathematics', 0, 0), (126, 'Complex number', 0, 0), (134, 'Matrix (mathematics)', 0, 0), (252, 'Transpose', 0, 0), (323, 'Complex conjugate', 0, 0), (856, 'Real number', 1, 1)]","['Complex number', 'Matrix (mathematics)', 'Transpose', 'Complex conjugate']"
Consistency,"[(3, 'Classical logic', 0, 0), (13, 'Deductive logic', 0, 0), (43, 'Theory (mathematical logic)', 0, 0), (89, 'Contradiction', 0, 0), (158, 'Semantic', 0, 1), (170, 'Syntactic', 0, 1), (258, 'Model theory#First-order logic', 0, 2), (287, 'Interpretation (logic)', 0, 4), (318, 'Well-formed formula', 0, 4), (389, 'Term logic', 0, 5), (318, 'Formula (mathematical logic)', 0, 4), (858, 'Closed-form expression', 0, 7), (1445, 'Mathematical logic#Formal logical systems', 1, 3), (1523, 'Sentential calculus', 1, 3), (1557, 'Paul Bernays', 1, 3), (1602, 'Emil Post', 1, 3), (1650, 'Predicate calculus', 1, 3), (1683, 'Kurt G%C3%B6del', 1, 3), (1776, 'Mathematical induction', 1, 3), (1900, 'Second-order logic', 1, 3), (1963, 'Mathematical proof', 2, 3), (2063, 'Proof theory', 2, 3), (2174, 'Hilbert%27s program', 2, 3), (2241, 'Incompleteness theorems', 2, 3), (2547, 'Cut-elimination', 3, 2), (2584, 'Normalization property', 3, 2), (2605, 'Curry-Howard', 3, 2)]","['Classical logic', 'Deductive logic', 'Theory (mathematical logic)', 'Contradiction']"
Continuum hypothesis,"[(6, 'Mathematics', 0, 0), (32, 'Set theory', 0, 0), (130, 'Infinite set', 0, 0), (394, 'Zermelo%E2%80%93Fraenkel set theory', 4, 1), (431, 'Axiom of choice', 4, 1), (502, 'Aleph number', 4, 1), (615, 'Beth number', 4, 1), (736, 'Georg Cantor', 5, 3), (817, 'Hilbert%27s problems', 5, 3), (888, 'Independence (mathematical logic)', 5, 3), (1125, 'Paul Cohen (mathematician)', 5, 3), (1167, 'Kurt G%C3%B6del', 5, 3)]","['Set theory', 'Infinite set']"
